,0
0,-785.1367339007041
1,-776.4885380231485
2,-751.8743964137411
3,-661.3587164130831
4,-648.8824082475405
5,-697.3776864477812
6,-714.8766231838639
7,-640.6449592240672
8,-485.8462981560647
9,-463.2738812582954
10,-521.8129057299773
11,-544.3845825695126
12,-545.0937847219942
13,-535.2941497998152
14,-525.9742972882838
15,-521.3439366774895
16,-521.2160814725311
17,-522.1091274158961
18,-530.8946471246787
19,-538.5593113654096
20,-487.70262322082147
21,-398.72029385218093
22,-360.6481268188921
23,-391.73932016265155
24,-454.02312895526103
25,-477.57777389641865
26,-490.56264449373134
27,-505.62892283245753
28,-529.1420853841895
29,-570.3769051724665
30,-617.1055193675907
31,-631.1043544181276
32,-454.67689275711996
33,-341.22514402156384
34,-347.74636728416266
35,-413.4447233288808
36,-426.37746502275303
37,-443.9870103943808
38,-452.6009944265205
39,-394.1096988861806
40,-365.19903093490143
41,-400.2306568915644
42,-428.6580175167853
43,-406.75341733061515
44,-386.7471915996502
45,-331.988329842837
46,-307.15819218218775
47,-334.3322121259467
48,-357.75966658788485
49,-369.0925715286965
50,-376.9495344953061
51,-383.1706772365057
52,-389.0956202813814
53,-393.6373341264287
54,-398.33007046314196
55,-411.01596569982485
56,-434.07636724471377
57,-397.0012259311104
58,-350.45811327489923
59,-341.20660370192724
60,-381.4539064091256
61,-443.94165077077264
62,-473.5904614496348
63,-486.3735188761495
64,-480.6009158068461
65,-474.43776052273114
66,-475.6249368213962
67,-442.6060443673664
68,-444.3444691235592
69,-463.31154189448114
70,-378.9128418941511
71,-344.50073176051836
72,-391.6033859957587
73,-455.43415052428634
74,-496.1910240661432
75,-499.8014072617396
76,-413.64944411258193
77,-380.05500150541104
78,-412.1415771719498
79,-478.27311726616756
80,-566.1423808234476
81,-393.39846774103256
82,-332.1197954255398
83,-370.88742828534987
84,-447.148271844976
85,-486.5551553732842
86,-533.5684631720806
87,-563.9086927645029
88,-568.7778727332797
89,-567.6389599340127
90,-567.2342196967172
91,-596.3977382381936
92,-619.7389868126436
93,-548.4508735228138
94,-412.0518767790568
95,-354.8649885052312
96,-387.3016754785832
97,-483.32555962323585
98,-542.2857798546509
99,-572.087630364138
100,-574.9647094439047
101,-558.3629578311749
102,-515.966123555206
103,-474.0355426912556
104,-445.1865978221876
105,-405.07722324575815
106,-308.41584571330316
107,-296.55577396199647
108,-361.81900493411865
109,-405.0824562927276
110,-425.5900741361514
111,-432.2181950462874
112,-383.937232230674
113,-361.35253815031183
114,-403.6681267029191
115,-448.20558164560117
116,-456.58249795581173
117,-396.38591447026914
118,-335.4608043826632
119,-346.0236344981812
120,-399.8414567762353
121,-443.0678654638993
122,-456.5796517285177
123,-462.7945574913762
124,-472.6646055849245
125,-480.6536661603037
126,-485.84505539670727
127,-485.61774762610344
128,-477.40826164042215
129,-461.24277569416824
130,-419.6388315697594
131,-351.7292882001244
132,-346.4596154892709
133,-404.1191498657823
134,-453.3490124289868
135,-494.7758533743288
136,-554.7418070876436
137,-577.5829096996364
138,-573.6344024742818
139,-575.1020239546398
140,-599.8633200435115
141,-572.728770894278
142,-547.1014000980534
143,-434.9207865746191
144,-336.4226812923727
145,-351.2287722126601
146,-481.99429218752636
147,-550.9650466976514
148,-572.6423992143831
149,-459.02222206545605
150,-413.40030792476614
151,-458.7695783806936
152,-536.5311864520255
153,-578.9008207452364
154,-436.99422863849435
155,-329.96157770095806
156,-340.6369525766616
157,-461.26752843437566
158,-538.3315479348952
159,-593.0438281235957
160,-618.8106565451512
161,-624.3614615097559
162,-624.6066347077473
163,-638.7130825575371
164,-629.339270470322
165,-607.1041334138581
166,-598.3837686991906
167,-445.40278086488803
168,-363.6084021848839
169,-383.4634110449141
170,-489.35565219854095
171,-575.6967543126643
172,-608.1201346515095
173,-577.8592068350929
174,-515.0166669457402
175,-524.7701441906321
176,-601.8245638572206
177,-643.3741819570574
178,-631.5955778079405
179,-383.87293278258227
180,-318.3376065365166
181,-372.4012285149329
182,-517.9100342169775
183,-572.4451910471087
184,-599.2406232338267
185,-462.2295855846226
186,-400.0933871334962
187,-440.64215288175717
188,-550.287383261561
189,-598.3036557345722
190,-498.76124449960764
191,-397.94829484256
192,-403.89818568720983
193,-512.8201490431146
194,-601.6371187018904
195,-615.297519235345
196,-436.87053834384847
197,-405.38989169322093
198,-494.3606101163788
199,-598.3316926149533
200,-581.1024156197991
201,-583.0666595092473
202,-553.1904362041005
203,-425.0171479049638
204,-361.89041173650156
205,-368.2876078126663
206,-426.87492763556327
207,-449.9516270871646
208,-462.1565991218609
209,-472.0139989481778
210,-488.8733838642948
211,-510.60254505400394
212,-549.474841946241
213,-602.6740111108023
214,-590.5873121763698
215,-488.3030735142587
216,-332.52136302894144
217,-310.32694911559537
218,-389.8200349114133
219,-449.8518937094972
220,-462.2341629327648
221,-451.54856505381906
222,-388.2883567565784
223,-381.78765440192086
224,-436.96031903508424
225,-461.330811044751
226,-398.93651058727545
227,-346.6819844217152
228,-381.2200170137057
229,-457.1261522955233
230,-467.19906966987617
231,-476.16056541146463
232,-475.2099062576343
233,-474.5196568248193
234,-475.8981143619473
235,-481.2902520764196
236,-500.4246532971018
237,-524.8140415692079
238,-551.1319544251126
239,-501.01178260164227
240,-358.50266112063093
241,-336.91464126200253
242,-409.17699125112864
243,-451.98244153585193
244,-411.9181246139006
245,-442.3021562909584
246,-506.37089326001535
247,-510.64433761416194
248,-519.8669419080431
249,-513.2834376376009
250,-498.91485297694874
251,-485.4016057068134
252,-433.08114102135613
253,-397.4025942279936
254,-420.6998004149627
255,-466.3709496726328
256,-476.4028518011723
257,-467.0087955818608
258,-388.7258209411007
259,-348.8681458204304
260,-405.0105102723404
261,-540.1216217186758
262,-571.4868613797316
263,-447.6597893762804
264,-353.3758875444816
265,-348.61002036583875
266,-418.4374889890863
267,-462.6333488561955
268,-467.5102784637126
269,-444.4635896298523
270,-441.8543803484316
271,-487.99558073622165
272,-525.2729255131375
273,-557.8922200604416
274,-595.1572394595939
275,-565.2179348230095
276,-463.3111331669297
277,-392.07868729122816
278,-380.1559543920938
279,-431.2838921490134
280,-505.4323006514594
281,-534.9318857308638
282,-540.4335134561368
283,-532.428103690866
284,-540.5028208883973
285,-550.9580748893436
286,-548.3426357805935
287,-535.373111165104
288,-422.11210703078484
289,-328.36226228126833
290,-350.43594013352504
291,-470.34477053076154
292,-530.5102142467356
293,-560.9912121554693
294,-477.5177702765264
295,-361.23673225331663
296,-363.8692689952173
297,-476.4575361877115
298,-554.4986080576165
299,-448.12682537527326
300,-346.1145161652073
301,-345.2927056954398
302,-408.55219421087946
303,-427.8367417605984
304,-435.98262590088973
305,-438.7648047373265
306,-444.73765440539796
307,-451.74310434043764
308,-458.9483627817018
309,-469.50003057332015
310,-487.2966698607952
311,-503.1055263630384
312,-435.40369497450786
313,-393.08143237520807
314,-371.2169091685555
315,-391.8289983283469
316,-449.62467386995854
317,-472.98637769314973
318,-481.5635043838014
319,-489.43651210114984
320,-506.9427367806174
321,-544.894915520698
322,-590.1092271857472
323,-568.6837944699047
324,-373.39706316182384
325,-322.14033546395854
326,-370.01993756784225
327,-433.59147926069227
328,-443.22790159668347
329,-445.03688724901616
330,-439.1463398757752
331,-357.74033438040266
332,-331.7370181952287
333,-366.3579704339176
334,-383.82173707899176
335,-382.8739554985358
336,-359.55140849067425
337,-321.8755695664423
338,-324.51668770246215
339,-366.8110430782197
340,-384.7916537588359
341,-395.21544589890124
342,-409.75959355733636
343,-425.71822432107683
344,-438.62738466923486
345,-447.6487860108561
346,-453.0701204392149
347,-457.7050791154871
348,-464.3913355092182
349,-422.83088969136315
350,-361.19457851505575
351,-347.84322892335354
352,-388.40210332173933
353,-455.1331355237438
354,-483.06160857906514
355,-478.95975612387457
356,-449.2395401267594
357,-429.27273270430766
358,-450.5308864514192
359,-496.3319902174314
360,-513.6588435168234
361,-389.1020755845748
362,-312.8405928272296
363,-338.5921956391926
364,-441.8146677713745
365,-490.4446416060998
366,-513.5962872217151
367,-422.5092824490128
368,-346.10260963190734
369,-370.764634391177
370,-513.5767728989038
371,-608.5523905716158
372,-465.51626851972765
373,-373.4506500467314
374,-352.69623841389625
375,-400.60735211991124
376,-494.59180012682543
377,-545.4218732631465
378,-583.8596219719949
379,-591.3135338155034
380,-582.0215833666414
381,-578.1832677413371
382,-583.130933248931
383,-614.7818246572298
384,-599.178106171631
385,-477.16254027888704
386,-393.23347390371265
387,-369.4994773383088
388,-418.70512740762825
389,-515.8512773688788
390,-566.8191880739708
391,-591.0541118970034
392,-588.8044257490384
393,-558.0147510271229
394,-522.3355060942482
395,-496.0982269603292
396,-442.6735439764893
397,-341.5947547709589
398,-324.52885176552854
399,-355.57224048919136
400,-384.49428948493613
401,-427.0559402640653
402,-450.0080326605612
403,-449.8205153036872
404,-366.230035213265
405,-332.14623090565624
406,-368.4340773239543
