,0
0,-782.8067512845957
1,-727.9196069439583
2,-670.5532526186033
3,-613.1832601192004
4,-582.8533991565896
5,-581.1912894594229
6,-601.4487375612374
7,-608.4789156713111
8,-541.1490333797226
9,-423.81079822649895
10,-378.74009704640264
11,-389.4817758768519
12,-427.7970708077268
13,-448.09054849908813
14,-433.2054261521679
15,-427.0976818710788
16,-433.79549387916256
17,-440.27734213916773
18,-425.4205711836221
19,-360.7498682967659
20,-341.7949917374531
21,-357.93641732214553
22,-370.2983764315188
23,-373.2843622184104
24,-351.6272323082257
25,-331.11196719282395
26,-346.1341737155236
27,-373.08260706391275
28,-392.8247868316001
29,-390.0076688676781
30,-340.1064320331816
31,-310.45751741453773
32,-319.46350322627615
33,-357.8005445877709
34,-383.75681780204616
35,-364.9535818066507
36,-363.94293829689104
37,-380.07207506621296
38,-404.3555288195597
39,-409.2477758342184
40,-349.44725498839443
41,-324.0553760249945
42,-355.6283298057355
43,-412.4776561169506
44,-446.0930177233566
45,-411.98315706194944
46,-363.6524532799832
47,-362.7769753992701
48,-386.5495347629779
49,-415.6911724756096
50,-354.0221550780788
51,-303.2509079926214
52,-281.6095655358786
53,-272.12228775914394
54,-276.9414953757359
55,-299.322755093792
56,-305.2127801965674
57,-299.97713161852073
58,-297.62056870013055
59,-304.3045074778587
60,-313.00397309711104
61,-319.8903885748973
62,-317.96216819797473
63,-323.6546010105005
64,-336.29039045821355
65,-354.7797302188112
66,-345.5089428074551
67,-309.0081668399849
68,-293.9187451019803
69,-318.54614053385114
70,-344.90113692794284
71,-355.9603532120252
72,-342.60971147056176
73,-304.8003551038746
74,-288.16242999166485
75,-299.9975923064985
76,-317.28131237165303
77,-325.823895124929
78,-334.87776673348935
79,-341.2192094619842
80,-342.33213109513986
81,-347.1336656521855
82,-334.2038030968291
83,-295.5908892485487
84,-280.73582621871753
85,-298.9483782713492
86,-330.30598851858264
87,-348.63596306368163
88,-339.59350451112834
89,-325.50627084939464
90,-328.9942710982245
91,-342.9520768000217
92,-353.08507303039784
93,-358.92384739677925
94,-339.59968758171857
95,-301.93122881782125
96,-284.91460932850737
97,-304.42315095739303
98,-342.4655570529968
99,-355.5944914053666
100,-350.7609350126264
