,0
0,-767.5421996716207
1,-680.7170779970266
2,-633.3471746512563
3,-602.0522887823184
4,-583.0871509724877
5,-594.1962634216716
6,-604.6888946540672
7,-609.7749876202416
8,-619.5555485958631
9,-578.3042962887379
10,-508.68831513442
11,-477.156681596416
12,-481.8584846218552
13,-494.3422404328172
14,-502.8378731316641
15,-505.5911618969006
16,-474.3816676026471
17,-408.80529013850963
18,-393.53026440021466
19,-395.4646616465963
20,-406.5155961854647
21,-440.30453295471443
22,-463.0376517375831
23,-476.9448954218201
24,-477.9273059243697
25,-445.3869615200317
26,-409.7122270519035
27,-414.8090574225356
28,-444.9259743379455
29,-471.20040194309183
30,-493.8996645583411
31,-454.70495584996723
32,-377.8410092517206
33,-361.1212166274683
34,-367.0552921374239
35,-385.2034055443705
36,-419.2968339634186
37,-448.6420025732831
38,-470.5208664655819
39,-488.59126107932315
40,-450.87643819441433
41,-393.77121436259966
42,-393.9160196044805
43,-420.6349545191283
44,-447.9029769711574
45,-471.80123859762216
46,-488.0415669762681
47,-467.43376712170937
48,-408.43084415124935
49,-398.90143066782827
50,-431.4191731403621
51,-456.38147422367865
52,-467.52418766225185
53,-474.6379484030041
54,-490.01106508510566
55,-482.78415763190304
56,-426.5240814479797
57,-422.41156386168575
58,-451.3378876312691
59,-468.3822460584146
60,-462.68531642193017
61,-440.52535164232995
62,-432.94160051382096
63,-400.18756311514477
64,-392.38274854245503
65,-409.0681625048485
66,-414.8068532637321
67,-421.23187354802377
68,-430.5368763679655
69,-425.9152646673614
70,-394.1404812454238
71,-362.97342238121075
72,-359.89558390315716
73,-364.95714342132186
74,-365.197071472733
75,-374.93654412614075
76,-383.96942713805873
77,-378.45538085721216
78,-377.13477400374126
79,-376.3930507970156
80,-371.18553970926007
81,-373.3775433626142
82,-389.49646895814817
83,-397.01874814554395
84,-381.13734672907253
85,-364.0017666944469
86,-342.51834994630343
87,-329.0612368908044
88,-349.5571722718682
89,-370.26265390260033
90,-392.652918034136
91,-401.1271722179262
92,-415.49799861557705
93,-416.79172840244803
94,-422.929956770383
95,-456.73324250310327
96,-483.4500464662168
97,-484.0112310615193
98,-477.3482645771927
99,-477.14667971374905
100,-464.8672794151167
101,-398.87221831511573
102,-357.1514257860675
103,-361.2069752782465
104,-384.96274760034527
105,-403.8852360248678
106,-419.95217485827203
107,-427.9713672717071
108,-401.6804619208164
109,-360.93133604094544
110,-354.3385077129997
111,-369.900711673499
112,-393.58317969176926
113,-437.5280726538727
114,-483.9026239783495
115,-500.6566521908088
116,-478.92476384673
117,-428.6862312685561
118,-425.8750768883687
119,-448.7547127055438
120,-460.2864148838679
121,-441.39722000559243
122,-432.2584875048381
123,-407.39695669218065
124,-370.55376618165104
125,-369.4719974176743
126,-378.6517966970888
127,-389.1388018741859
128,-395.79776842569584
129,-402.09470591683737
130,-362.7858868737538
131,-315.8634112348826
132,-302.3492270067661
133,-310.96385727119326
134,-328.5156692699439
135,-340.4649494823177
136,-357.2849501211994
137,-365.3419617729481
138,-371.85648964528474
139,-357.31807226501064
140,-352.94173544641245
141,-367.60454879983416
142,-367.5459875781242
143,-365.33538527255763
144,-376.7214410604666
145,-403.3864444454493
146,-355.5111904408384
147,-322.8795262365347
148,-327.3203297524792
149,-343.9231101476364
150,-350.9633690103385
151,-367.8483783546556
152,-373.4452448994673
153,-361.30249908067617
154,-361.13204368951335
155,-375.95072313345634
156,-389.94243165015
157,-410.6985826233451
158,-426.45098251529356
159,-423.74593287035856
160,-433.10995549415355
161,-439.84663422888514
162,-407.99016732572005
163,-381.6771012268236
164,-381.44554973586094
165,-378.9653553997446
166,-380.35512493946135
167,-395.95964041712585
168,-385.90575168216543
169,-362.2066740698508
170,-355.36508172639526
171,-360.9373034725167
172,-367.1463011279105
173,-367.16146495057916
174,-370.47969452365487
175,-368.8189794252777
176,-361.5936131046736
177,-355.76941122539876
178,-346.03735406003824
179,-345.23171531117157
180,-348.1430536130173
181,-348.7938730757132
182,-352.68061230198
183,-345.00421502880187
184,-315.40823805574166
185,-306.04028024490543
186,-311.56992742098083
187,-318.9550886941775
188,-325.45665089206403
189,-335.2270631338804
190,-349.31720556783887
191,-354.01063351647144
192,-353.0044904224167
193,-342.33536751905274
194,-340.6296821191782
195,-344.1132329017453
196,-354.64127703818934
197,-362.1529386178189
198,-367.2068950318339
199,-371.3967312659643
200,-368.5269818823175
201,-370.8318619626203
202,-378.09630414019983
203,-387.15389272138515
204,-392.6420134600026
205,-388.2410224608153
206,-379.6315888197323
207,-352.57278392697185
208,-326.7244261395774
209,-328.999548094205
210,-348.2129471325866
211,-356.34168560024426
212,-368.3183806099425
213,-380.9654595299297
214,-394.718026758052
215,-389.6659657865505
216,-384.77220977113365
