Row,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Song9,Song10,Song11,Song12,Song13,Song14,Song15,Song16,Song17,Song18,Song19,Song20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,70.0,0.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,42.9851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,43.8806,0.0,40.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,17.6119,79.7015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20.0,40.0,79.1045,0.0,70.0,0.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,40.0,60.0,70.0,0.0,0.0,0.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,40.0,0.0,90.4478,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,40.0,30.0,0.0,34.3284,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,47.0,0.0,60.0,0.0,40.0,54.0,0.0,0.0,60.0,56.7164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,60.0,40.0,92.2388,0.0,0.0,0.0,0.0,60.0,88.0597,60.0,70.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8209,30.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,30.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,62.6866,0.0,75.5224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,40.0,60.0,0.0,3.5821,0.0,40.0,0.0,0.0,60.0,60.0,60.0,70.0,60.8955,0.0,0.0,60.0,34.0299,0.0,0.0,0.0
18,0.0,0.0,90.0,42.0896,70.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
19,50.597,0.0,60.0,60.0,50.0,60.0,0.0,0.0,0.0,61.0,0.0,0.0,70.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
