,0
0,4.9058880607349395e-08
1,1.5159782231167556e-07
2,9.060074015446858e-08
3,1.138656458956495e-07
4,1.005701280475166e-07
5,2.7595647380567795e-07
6,3.661010617939338e-07
7,6.432502936259589e-07
8,1.0516291006307347e-06
9,1.4874614136632508e-06
10,1.0075933176916288e-06
11,1.6054300695101578e-06
12,1.2910817811055406e-06
13,1.7510597640166095e-06
14,3.7359184828599904e-06
15,2.091796175715374e-06
16,4.45783596475486e-06
17,1.3728377853572507e-05
18,8.129593740794302e-06
19,5.647689993991789e-06
20,1.0502116599744053e-05
21,7.388303429208501e-06
22,5.293993588855452e-06
23,8.30137569724919e-06
24,3.741389280516371e-06
25,1.6720725754045372e-06
26,2.8368116209333887e-06
27,2.082507205280533e-06
28,1.584616820199372e-06
29,9.416131199491156e-06
30,7.382992321454478e-06
31,5.914513629310937e-06
32,8.885108544568318e-06
33,7.427564408817963e-06
34,1.8258521991002062e-05
35,9.826820741420299e-05
36,0.00024389276950549898
37,0.00028178211490235055
38,0.00011041700455082323
39,5.762874795976173e-05
40,0.00011680161669695512
41,7.786573567485917e-05
42,5.6097299009437275e-05
43,1.9157892679644156e-05
44,6.406823386887403e-06
45,7.952616082437268e-06
46,7.658055980404564e-06
47,2.612980437478796e-05
48,5.618278351731636e-05
49,2.4293654289769394e-05
50,2.0553941580175094e-05
51,3.2811079979925374e-05
52,2.0152940137583024e-05
53,9.022438283168226e-06
54,8.359896141998348e-06
55,9.36270464231472e-06
56,1.7593341352330566e-05
57,2.6448498807635806e-05
58,2.1038658047382085e-05
59,3.2569258409315185e-05
60,2.0227934073537323e-05
61,9.78678329505101e-06
62,3.991632208861628e-06
63,3.923113367814377e-06
64,6.305712490703031e-06
65,1.0451537662416356e-05
66,1.659589838197462e-05
67,1.1736461011953797e-05
68,6.867271669902338e-06
69,4.845792327206009e-06
70,4.905072548513654e-06
71,6.5163517981740244e-06
72,3.842398065985975e-06
73,3.5755382363561216e-06
74,8.177127543157012e-06
75,1.9859834321070836e-05
76,3.635762148000263e-05
77,2.760629495541429e-05
78,2.131581237513019e-05
79,1.1017998833687548e-05
80,1.9502501547558312e-06
81,4.430053899025126e-06
82,5.049375110207633e-06
83,8.292660840733128e-06
84,5.144495597012e-06
85,4.371990582698799e-06
86,2.2884649769596013e-06
87,3.2520043188775534e-06
88,5.675497236930733e-06
89,3.773242200912128e-06
90,4.027415805878652e-06
91,1.1110390278903359e-05
92,1.0992769648865037e-05
93,8.775661577692531e-06
94,6.519707778811172e-06
95,1.3601606038810436e-05
96,2.8707988490216504e-05
97,4.0655409368199024e-05
98,1.1007668649338478e-05
99,2.6820689423819004e-06
100,2.829765760214975e-06
101,1.0405110275497341e-05
102,1.0793266323632347e-05
103,1.6007736542047074e-05
104,2.022861881892801e-05
105,7.555960131787538e-06
106,1.3603245039321538e-05
107,2.3141688445762665e-05
108,3.145051536076975e-05
109,1.2395043127510627e-05
110,2.6705160161299248e-05
111,7.339634417837344e-06
112,6.6778956609992574e-06
113,2.885654179049582e-05
114,2.946170988992833e-05
115,1.7845884644873587e-05
116,3.7172946567079915e-05
117,1.8867371370603524e-05
118,1.4457352704828359e-05
119,1.0384368132066508e-05
120,2.3444301475024016e-06
121,1.485687592507501e-05
122,1.0024000413511365e-05
123,1.1800696114356147e-05
124,1.3958261155695421e-05
125,1.7389602054053203e-05
126,8.859105519293508e-06
127,2.576005365212654e-06
128,8.93538796849456e-06
129,1.755771095766313e-05
130,9.302336468326596e-06
131,9.699923722966922e-06
132,4.528954838306063e-06
133,1.9576232645686512e-05
134,2.6059350043016378e-05
135,5.861284077089984e-06
136,1.9530390330852185e-05
137,2.0566657825589945e-05
138,1.8529351181938952e-05
139,1.216134164685519e-05
140,7.991840071430613e-06
141,1.810604357358817e-05
142,1.0588536392926228e-05
143,1.322063982416698e-05
144,7.707074040670797e-06
145,1.1878186903780249e-05
146,3.371907500227178e-06
147,2.9210128245235875e-06
148,9.936247821253588e-06
149,7.702530429128248e-06
150,2.2689974976712515e-06
151,4.078067736735031e-06
152,2.785879530942806e-06
153,3.64655845662169e-06
154,6.260824334430608e-06
155,9.875445546431137e-06
156,1.619134988119845e-05
157,1.8273994440017575e-05
158,2.228778634600596e-05
159,1.0865475637566134e-05
160,1.1269368499223833e-05
161,5.1784670632461225e-06
162,2.1806130607067125e-06
163,5.706500756641091e-06
164,7.391231461885583e-06
165,1.3616627051175823e-05
166,2.144667171614013e-05
167,9.535358643236435e-05
168,0.00010813981020903744
169,4.233089902641964e-05
170,5.196813111740986e-06
171,2.35589867425805e-06
172,5.783813426528784e-06
173,1.4114819472217845e-05
174,1.1389812989707484e-05
175,2.1126918964095975e-06
176,5.6930003957176845e-06
177,7.103292506847922e-06
178,8.771769273128684e-06
179,4.136706898507936e-06
180,5.110014370850793e-06
181,3.6005684737301557e-06
182,6.533045258145421e-06
183,2.882933939684428e-06
184,4.793851109586566e-06
185,6.541376872690922e-06
186,1.839100570806351e-06
187,1.0846372437924974e-06
188,6.439998006333416e-06
189,9.05286812320442e-06
190,7.6181262904063745e-06
191,4.113125110596263e-06
192,7.2333969685615965e-06
193,4.722387992588485e-06
194,3.938010846285416e-06
195,6.9941441517585665e-06
196,3.008627683199025e-06
197,5.296976202961801e-06
198,7.72273992733298e-06
199,4.857076625553206e-06
200,3.5627861393336562e-06
201,5.3329901227036845e-06
202,3.0242203341596404e-06
203,1.3691125877404749e-05
204,2.761583703715845e-05
205,1.2828909308084556e-05
206,8.762594112875883e-06
207,6.998909250931691e-06
208,2.392188303801103e-06
209,1.2941821052638734e-06
210,1.4483202236179577e-06
211,3.4503506523447803e-06
212,4.176062713943599e-06
213,2.6233164034230703e-06
214,5.642430104525562e-06
215,2.1901770500162764e-06
216,1.0662713339834054e-05
217,9.085494346171285e-06
218,9.755416141547112e-06
219,1.4792172304277227e-05
220,2.259357943467086e-06
221,1.2020862514458859e-06
222,8.58752888370462e-06
223,1.6600549224045404e-05
224,6.376553689641518e-06
225,1.6946351557063585e-06
226,1.4077471029098657e-06
227,1.372092085133237e-06
228,2.330649139790093e-06
229,9.700287602788292e-06
230,5.938474432610953e-06
231,6.526667609755509e-06
232,3.4521620095808765e-06
233,1.220025358474225e-06
234,3.8667007089151736e-06
235,9.392314478452293e-06
236,6.4290748430484735e-06
237,8.55719034224551e-06
238,6.31805037182349e-06
239,9.456145876301686e-07
240,3.964038728143394e-07
241,1.3653721415629291e-07
242,8.03716912966921e-07
243,5.005211409409693e-06
244,8.206086604722983e-06
245,3.191686871469285e-06
246,5.350331969364798e-06
247,2.722655735111228e-06
248,1.270628722810282e-06
249,2.90058352899859e-06
250,1.9386478894128883e-06
251,1.1323248358145502e-06
252,2.5861709760600894e-06
253,1.8735825110853122e-06
254,2.140342530540841e-06
255,3.749309051900978e-06
256,7.458481006846706e-06
257,5.608716316791838e-06
258,3.694002876497396e-06
