,0
0,0.0
1,0.0
2,7.455193621530382e-21
3,4.5283063244200575e-10
4,1.3844245928684966e-09
5,2.7255198770373614e-09
6,1.370725089957886e-08
7,4.668449346426379e-08
8,2.7212613380687585e-08
9,3.509201544557009e-08
10,2.8803146312696646e-07
11,4.116469822043474e-07
12,3.174773527714e-07
13,1.3571155922960986e-07
14,9.799287410013546e-08
15,1.9039543891161188e-06
16,9.716222166731988e-06
17,5.574279563922029e-06
18,3.96874854493227e-06
19,1.941422353595724e-06
20,1.3845131553142761e-06
21,5.0716845032445345e-06
22,3.2888301233222294e-06
23,2.8982582349427877e-05
24,4.370897083606224e-05
25,9.872410797652483e-06
26,1.753855720198829e-05
27,0.00011982926386617901
28,0.00010518211745537724
29,4.139471212069149e-05
30,1.0484437277293805e-05
31,1.1671421701317321e-05
32,1.6402868102205714e-05
33,1.353490506940539e-05
34,2.0004644163893267e-05
35,5.54883024236329e-06
36,5.735059568493869e-06
37,7.552147239499194e-06
38,2.5643326472247753e-05
39,4.810254956984063e-05
40,1.4764836455383217e-05
41,3.401861332533438e-06
42,2.4388439821874305e-06
43,1.611898313645071e-05
44,0.00010192406483955574
45,0.00027687378433695765
46,9.062635306357857e-05
47,2.6345311117650027e-05
48,4.076638976594902e-05
49,2.7329657633421002e-05
50,4.836907503263984e-05
51,4.64553200137759e-05
52,5.476716332023971e-05
53,1.4835153400386614e-05
54,1.9594644074957334e-05
55,0.00023483307857442783
56,0.0002221911706683973
57,0.00012338634590433045
58,5.3789575021626766e-05
59,3.3206473763617875e-05
60,3.8690720851879426e-05
61,3.986715475803468e-05
62,1.3719073559243427e-05
63,1.198630153101182e-05
64,2.549425816055297e-05
65,2.1324864073956972e-05
66,2.341321366516091e-05
67,1.939038589524384e-05
68,3.457733457715216e-05
69,6.362405372036847e-05
70,3.9133492299405614e-05
71,1.0225500078719487e-05
72,8.659829211274383e-06
73,9.70930774722574e-06
74,2.006345631858919e-05
75,2.3102976239626996e-05
76,1.3973726047812983e-05
77,1.0331783626937247e-05
78,1.0983818307760557e-05
79,3.921375280874918e-06
80,5.260508183532292e-06
81,6.518417026260376e-06
82,2.625297693183643e-06
83,9.629441849318856e-07
84,1.954464837122129e-06
85,1.2720744376248192e-05
86,5.207775033641001e-05
87,3.923871765619899e-05
88,5.481854978986505e-06
89,6.646396620419102e-07
90,8.058954981173661e-07
91,6.225326649585834e-07
92,8.221211337789536e-06
93,2.67098941134646e-05
94,2.302952483594937e-05
95,1.2707061621927744e-05
96,2.5418524377283104e-05
97,0.00022522085436712502
98,0.00044488931160663954
99,0.0010504347228300576
100,0.000754662984526627
101,0.00013405075414146957
102,1.278634195738033e-05
103,2.2338380234336637e-05
104,4.8245671134060486e-05
105,3.56437171408813e-05
106,9.053962884506343e-06
107,5.1402646106338355e-06
108,8.713466807147327e-06
109,1.4256068048647426e-05
110,1.0397823479554654e-05
111,2.0539683810773286e-05
112,2.5293702843665053e-05
113,1.1952527047997186e-05
114,2.9046872552862543e-06
115,2.3041060739459977e-06
116,1.3513390300376873e-05
117,1.0877123844406878e-05
118,1.3674655260215138e-05
119,7.1033205507940905e-06
120,4.4027999792781585e-06
121,2.606294298243862e-05
122,4.7242211394289795e-05
123,4.7798652282490986e-05
124,1.8395950261269333e-05
125,2.1242828978934547e-05
126,8.913799398982202e-05
127,7.4767272427184e-05
128,5.553607290255322e-05
129,2.080382062652706e-05
130,4.387870455210676e-06
131,9.607553876786214e-06
132,1.0395561122142608e-05
133,3.0216801192032084e-05
134,2.4063367726563873e-05
135,2.746469463698608e-05
136,1.5470941597615595e-05
137,8.969049555338567e-06
138,5.998563237585562e-06
139,2.4457678996879626e-05
140,5.7209760870013696e-05
141,1.9514786550607713e-05
142,6.267217114976288e-06
143,5.457926795014134e-06
144,1.3013069893724137e-05
145,3.994377606057133e-05
146,2.584479242733449e-05
147,1.6738467815317278e-05
148,1.9170532311167473e-05
149,6.008288312596251e-06
150,3.9796101449431936e-06
151,6.30594052983304e-06
152,2.2419511363410494e-06
153,1.8239961611684206e-06
154,2.7352208818281923e-06
155,4.381466948331726e-06
156,2.9961647011226534e-05
157,3.543826995655372e-05
158,6.50751252997644e-05
159,2.9756170245920298e-05
160,1.678834256234215e-05
161,9.056509040615054e-06
162,2.881374756018299e-05
163,1.3791468953727143e-05
164,5.460494962511929e-06
165,1.8781563811912317e-05
166,1.1162385344308389e-05
167,1.1313767364879303e-05
168,2.6948908365015917e-05
169,1.2501545083652554e-05
170,1.2358933330069053e-05
171,1.811823783574102e-05
172,2.6473753373535535e-05
173,2.89400251848362e-05
174,3.681806164220228e-05
175,3.175217857222681e-05
176,2.8970792827640557e-05
177,1.4636807950392303e-05
178,8.985696359954185e-06
179,2.630417147429338e-05
180,2.5383925328548313e-05
181,1.1902524742352445e-05
182,7.0964305889731315e-06
183,8.85441893561751e-06
184,5.662105916331842e-06
185,1.1993834310539729e-05
186,2.692849367827535e-05
187,1.1073279801327666e-05
188,2.5256761228221905e-06
189,4.580695578949239e-06
190,1.6473840355456876e-05
191,4.11596967269489e-05
192,4.6547704748198154e-05
193,1.3293596420149807e-05
194,8.955185423386841e-06
195,2.1661088344495105e-05
196,0.00021503332151580026
197,0.00022346386160671655
198,6.00628438220148e-05
199,8.69843393293983e-05
200,1.7190682849815093e-05
201,1.3088474866666051e-06
202,3.9277881193201764e-06
203,2.3650573468676325e-06
204,4.595015772483792e-06
205,1.1020310468015406e-05
206,1.2796066185040313e-05
207,1.4330808376646732e-05
208,8.162878937097782e-06
209,7.893977792146811e-06
210,7.2897201458292905e-06
211,1.7939743320416648e-05
212,3.209301846181228e-05
213,1.2186048709229551e-05
214,2.4809232550512805e-05
215,0.0001727558251159746
216,0.00013714058178335766
217,2.2223388305709514e-05
218,1.7248201838106282e-05
219,5.537817318025535e-06
220,3.392178653474449e-06
221,3.4674835310730264e-06
222,6.82515954644909e-06
223,5.491113071992756e-06
224,4.0495651961541715e-06
225,2.090022040491341e-06
226,9.307040801372434e-06
227,1.9707186104812353e-05
228,1.9573620991108386e-05
229,3.849896205388288e-06
230,1.948165765832578e-05
231,2.367685058578545e-05
232,1.9336999383581586e-05
233,1.687479838839684e-05
234,3.0370981604326155e-05
235,2.998916950448129e-05
236,2.2558651035672654e-05
237,1.8298758668563614e-05
238,1.6328250139106087e-05
239,6.06011029433526e-06
240,1.4316762751794925e-05
241,1.4586976088548411e-05
242,2.4869440684419862e-05
243,2.8738471120686674e-05
244,1.2611780721557512e-05
245,2.928602931088881e-05
246,3.192558879205032e-05
247,9.114914120082189e-06
248,5.418810474263311e-06
249,5.197937171646358e-06
250,6.939282339102677e-06
251,1.2389490343148097e-05
252,9.85159916482388e-06
253,1.703104318208336e-05
254,7.1044678246246145e-06
255,2.6588729752601687e-06
256,4.5665880240290916e-06
