,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,5.821724639191227e-13
21,7.511889334436337e-09
22,3.3087349317344605e-08
23,3.357361056317279e-08
24,2.579010596604638e-08
25,9.9717000126905e-09
26,1.032468855129515e-08
27,4.864250560587618e-09
28,1.0300427346333574e-08
29,8.07022266171119e-09
30,2.532532646701991e-09
31,3.717336440643369e-09
32,3.651736388083827e-09
33,1.3668200680177947e-08
34,3.352937779403267e-08
35,9.005291013340073e-09
36,1.4795884263039077e-08
37,2.0583688385406133e-08
38,2.139977780357183e-08
39,4.7731016114718606e-08
40,2.4846645735301122e-08
41,7.894253869372456e-09
42,1.2772439817354787e-08
43,4.9404899272959804e-08
44,1.3221739115363472e-07
45,4.364150869745846e-08
46,2.850896889701484e-08
47,6.696918680462653e-08
48,6.471765823465722e-08
49,1.368443836877986e-07
50,1.498817157258182e-07
51,2.8844167864790497e-08
52,2.348739371793846e-08
53,3.706641138601058e-08
54,4.627253113750979e-08
55,3.974872759065741e-08
56,9.345739916063337e-08
57,5.90259646115424e-08
58,6.356433400841648e-08
59,1.0779105632262253e-07
60,1.515929839162003e-07
61,1.6167427083110417e-07
62,8.809844376131608e-08
63,6.620769419058578e-08
64,7.622521116264132e-08
65,2.3469064805331696e-08
66,1.58523756717796e-08
67,3.494440810015723e-08
68,1.9755320303218495e-08
69,8.273053766727332e-08
70,1.7150270807608235e-07
71,1.9328916475400598e-07
72,8.750208676373055e-08
73,1.4445881242728343e-08
74,9.47537120341416e-08
75,7.479307485681398e-08
76,5.4128398539031845e-09
77,2.5045862944854503e-08
78,3.2234846590870716e-08
79,1.605429518880474e-08
80,7.132630782299479e-08
81,9.051503198338214e-08
82,9.7529224353241e-08
83,8.780673900989463e-08
84,7.140850876690152e-08
85,6.992876991381641e-08
86,4.84896559387224e-08
87,4.548741550533766e-09
88,2.7663648926200937e-08
89,9.055739796500671e-08
90,6.322091019361672e-08
91,1.0342936336914526e-07
92,6.869887878726485e-08
93,3.161916336366743e-08
94,2.061836673640274e-07
95,1.5944960112255386e-07
96,1.0639106202367371e-07
97,7.171620837108301e-08
98,6.618099445713575e-08
99,1.6263129555176892e-07
100,2.0068955080325234e-07
101,3.060670328874883e-07
102,2.5771013992007707e-07
103,4.4945468257989245e-07
104,4.148829454635118e-07
105,4.3579846097645693e-07
106,2.0395181074729047e-07
107,8.005984336561198e-08
108,3.892288162112982e-08
109,2.390903465895734e-08
110,6.57527730276942e-08
111,1.319231277752674e-07
112,6.62483598389065e-08
113,1.6244324370819186e-08
114,1.0724826752875621e-07
115,1.0764982186096796e-07
116,7.896848422593211e-08
117,8.034079789173812e-08
118,4.726680500633055e-08
119,8.799298320815955e-08
120,1.2368305318555405e-07
121,5.386860558088905e-08
122,4.514720593284302e-08
123,2.4563727754641766e-08
124,1.911184850176909e-08
125,7.541337583492622e-08
126,1.2857056373326117e-07
127,1.6858894241899824e-07
128,1.3997719989004408e-07
129,1.6948005678956727e-07
130,6.566852723526363e-08
131,6.581234676085394e-08
132,2.5483490176203796e-07
133,1.531761312534978e-07
134,1.986517895757623e-07
135,1.09229573720706e-07
136,1.0640079393820463e-07
137,5.464521326981799e-08
138,6.163615615231141e-08
139,2.793174312355718e-08
140,3.852630754418921e-08
141,3.214613777390745e-08
142,3.197800209260827e-08
143,2.412247796695524e-08
144,1.5002243836046687e-08
145,1.3960945080076568e-08
146,7.424863523856682e-08
147,2.81627935456172e-07
148,1.0119437671929614e-07
149,1.3924427997248835e-07
150,1.938750164080479e-07
151,2.0698911962507282e-07
152,9.186151795980226e-08
153,6.194262627448942e-08
154,4.182003355230816e-08
155,3.034055800620979e-08
156,2.6024147020307455e-08
157,7.687134435794582e-08
158,2.4642165901637287e-07
159,1.4257050714179533e-07
160,4.6614823232923166e-08
161,6.699708924537533e-09
162,1.166749069455928e-08
163,4.845851802635557e-08
164,7.458327773255369e-08
165,1.7463733198565342e-08
166,1.5133238114948403e-08
167,2.040877378566269e-08
168,3.909782826954667e-08
169,5.007702790341982e-08
170,4.778598950918905e-08
171,5.7377194640478074e-08
172,4.183936282355876e-08
173,1.6560983563131187e-08
174,1.4178804010679292e-08
175,2.950342648601734e-09
176,6.839010605698893e-09
177,1.9011377914110256e-08
178,6.145351831491801e-09
179,1.611392696593391e-08
180,3.538585860128845e-08
181,4.3924172540202646e-08
182,6.620046336958742e-08
183,1.6564608561878517e-07
184,1.6516705385364988e-07
185,2.0735332789935368e-07
186,6.578449081246248e-08
187,3.661827366821762e-08
188,2.4293061062233004e-08
189,1.4374119089296208e-07
190,2.7965504455889375e-07
191,2.0433515491791458e-07
192,1.40626458395085e-07
193,7.477272666749157e-08
194,8.105695204705262e-08
195,6.492764989471306e-08
196,5.373539723502133e-08
197,4.7779254006757406e-08
198,8.724868308981349e-08
199,3.021459333165488e-07
200,2.968456958382382e-07
201,4.140712835344556e-08
202,6.941458847227675e-09
203,1.0738328510744326e-08
204,4.789053754357507e-09
205,1.1666915281843878e-08
206,1.0135629165040543e-08
207,1.0485061293419799e-08
208,3.1228990738483986e-08
209,2.5803670827341242e-08
210,3.356478170044696e-08
211,2.469814592135465e-08
212,4.094859454421413e-08
213,5.898307686860888e-08
214,1.2263990295809708e-07
215,1.4527336605272016e-07
216,5.910642795326589e-08
217,4.239651894558604e-08
218,1.515489150799956e-07
219,1.3953926580497892e-07
220,1.0699062958620544e-08
221,1.5579920733399754e-08
222,5.7233397588923054e-08
223,1.9920493110846802e-08
224,2.428002930004513e-08
225,1.791359005353203e-08
226,2.883732992225084e-09
227,9.873024793104817e-09
228,7.1153115097209475e-09
229,1.838627819975715e-08
230,1.396108390889944e-08
231,2.9827751747667967e-09
232,1.0969194551674702e-08
233,2.391093227837533e-08
234,8.196932418668285e-08
235,1.4206480460376424e-07
236,1.557487513461948e-07
237,2.5982583791030324e-07
238,5.199996739829208e-08
239,2.124852183051204e-08
240,8.63583501320348e-08
241,5.707913918177366e-08
242,1.0223273201267852e-08
243,1.318034954776989e-08
244,2.852502914970807e-08
245,3.13396772664959e-08
246,1.017739604298443e-07
247,8.629751156505594e-08
248,5.34985412509866e-08
249,1.0267382189859719e-07
250,1.0432199161034073e-07
251,1.0721895863389795e-07
252,1.7719959687234374e-08
253,1.3787171335113074e-08
254,3.3672388578550816e-08
255,2.821780040172657e-08
256,4.520185495296915e-08
257,6.488536199006114e-08
258,1.0097965687903104e-07
259,2.2138520203099835e-07
260,5.621726777217134e-08
261,4.1592322391972056e-08
262,1.8343761125726406e-08
263,1.431472143627078e-08
264,1.637487979535314e-08
265,5.396858926692308e-08
266,8.281345254203825e-08
