texture,consonance,rhythmic,familiarity,valence,excitement,liking,ornamentation,grooviness,tempo,pitch,timbre,sound_quality
55.1097666666667,37.4603,39.3651,48.7064666666667,45.4960333333333,74.0674666666667,48.9022,57.0634666666667,34.8809666666667,51.4427666666667,73.0754,74.2261666666667,86.2896666666667
46.7265666666667,58.3730333333333,22.9960333333333,30.2487333333333,50,65.1984333333333,47.0658666666667,48.3531666666667,8.19446666666667,66.2686666666667,64.6428666666667,45.7341333333333,22.5992
94.1118,79.8611333333333,16.3690333333333,83.3333333333333,59.1269666666667,65.5754,82.5349333333333,50.2976,57.3413,23.4328333333333,89.5833666666667,61.0119,73.3135
30.0199666666667,61.4087333333333,57.6389,33.9801,52.6786,61.9048,39.8004,16.9643,11.1111333333333,60.7462666666667,86.7063,47.1031666666667,51.5873
21.3373,43.2539666666667,44.9801666666667,36.9154333333333,50.9722,68.0555666666667,48.503,12.3611,65.6547666666667,31.3930333333333,39.6627,49.2460333333333,42.6785666666667
46.2475,46.9841333333333,84.9404666666667,60.199,57.0039666666667,73.2143,71.8902333333333,20.7738,87.3412666666667,61.6418,61.9047666666667,72.8968333333333,68.0357
72.1357333333333,42.5198333333333,97.4206333333333,25.6219,71.5873,71.0913,66.0678666666667,46.7460333333333,68.9484333333333,63.6318333333333,58.9682666666667,67.2817333333333,36.7262
52.3153666666667,33.4127,74.5436666666667,51.3433,23.3333333333333,67.2420666666667,42.7145666666667,31.2896666666667,7.1627,37.8109333333333,85.1984,23.3333333333333,89.3254
93.3333333333333,22.6984333333333,47.2817666666667,55.1741333333333,69.127,93.2222333333333,55.9880333333333,85.2381,70.2976333333333,81.6915666666667,65.0992,65.873,50.377
85.8882333333333,51.8650666666667,62.5992,47.3631666666667,66.8650666666667,64.7619333333333,49.002,96.4682666666667,62.9563666666667,41.8905666666667,60.5159,41.8651,67.9563333333333
38.6028,68.9880666666667,71.4285666666667,53.3831,70.3373,24.7023666666667,65.3293333333333,54.5635,35.3373,17.5124333333333,75.4761666666667,60.2182666666667,34.127
64.4711,69.3452,71.0317333333333,75.5224,88.2936666666667,86.7063666666667,71.9561,82.4404666666667,78.1746,76.7164,66.8651,75.0992333333333,39.6826
46.1477,52.0436333333333,66.3888666666667,70.7462666666667,65.7341333333333,67.5595333333333,62.2754333333333,30.6150666666667,72.1031666666667,42.1890333333333,34.6627,46.3889,67.6587333333333
78.7225666666667,9.2857,20.5952333333333,16.6666666666667,14.9405,73.0159,67.9441,37.0238,36.4087333333333,46.2686666666667,80.2182666666667,15.5357333333333,60.7341
39.4610666666667,87.1825333333333,57.4008,71.1940333333333,31.8452333333333,71.6825333333333,54.2914333333333,23.1150666666667,13.5714333333333,54.1791,84.9404666666667,11.2301666666667,87.9365
57.6846333333333,9.71826666666667,13.8492,25.3731333333333,47.6984,52.4206333333333,48.6427,57.4801666666667,0,47.3632,65.7539666666667,31.1905,67.3412666666667
70.4790333333333,17.4404666666667,33.4325333333333,12.2388,62.2222333333333,76.4682666666667,57.1257333333333,73.8492,50.9523666666667,68.0099333333333,50.2381,63.5714333333333,25.6547666666667
74.0718666666667,94.5833333333333,92.1627,67.8607,76.6071333333333,18.9087,71.996,71.0515666666667,26.1508,59.1044666666667,71.9246,77.5793666666667,64.623
51.6966333333333,20.6349333333333,59.8214333333333,13.9304,64.8809666666667,75.9921,67.7644666666667,41.9643,70.4365,71.8408,36.7064,34.127,16.4682333333333
28.8423,33.4523666666667,65.2976333333333,20.1990333333333,39.1865,68.1547666666667,60.1796333333333,28.4722333333333,54.9603333333333,38.0099666666667,34.4643,55.8928666666667,42.6587333333333
