Annotator 1
Annotator 2
Annotator 3
Annotator 4
Annotator 5
Annotator Avg.
Algorithm 1 ( Pohle & Schnitzer )
Algorithm 2 ( Musly )
Algorithm 3 ( Panteli )
Algorithm Average
