100,90,0,0,77,0,100,86,91,67,100,0,0,1,0,0,0,15,73,0
90,100,80,100,1,0,0,0,0,0,94,0,0,0,1,0,0,100,0,0
0,80,100,23,0,0,0,8,0,18,88,0,80,4,100,0,1,0,97,0
0,100,23,100,0,0,0,0,97,100,0,0,0,0,0,5,0,0,0,89
77,1,0,0,100,0,90,100,8,77,90,0,6,0,83,94,0,0,0,65
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,68,89
100,0,0,0,90,0,100,79,0,100,2,0,6,84,70,0,0,0,4,0
86,0,8,0,100,0,79,100,0,100,75,0,0,4,97,95,89,0,69,0
91,0,0,97,8,0,0,0,100,9,0,0,20,4,79,0,0,0,0,0
67,0,18,100,77,0,100,100,9,100,4,0,0,0,0,0,0,0,0,0
100,94,88,0,90,0,2,75,0,4,100,50,0,0,16,0,0,0,79,91
0,0,0,0,0,0,0,0,0,0,50,100,50,0,1,0,0,70,0,0
0,0,80,0,6,0,6,0,20,0,0,50,100,0,0,0,100,67,0,65
1,0,4,0,0,0,84,4,4,0,0,0,0,100,6,77,0,0,0,0
0,1,100,0,83,0,70,97,79,0,16,1,0,6,100,79,0,0,88,79
0,0,0,5,94,0,0,95,0,0,0,0,0,77,79,100,0,93,16,0
0,0,1,0,0,0,0,89,0,0,0,0,100,0,0,0,100,0,77,0
15,100,0,0,0,0,0,0,0,0,0,70,67,0,0,93,0,100,26,100
73,0,97,0,0,68,4,69,0,0,79,0,0,0,88,16,77,26,100,0
0,0,0,89,65,89,0,0,0,0,91,0,65,0,79,0,0,100,0,100
